lemma	translation	rel	p-value
شَرَف	honor,distinction	attr	0.196
شَعر	hair	attr	0.196
صَدِيقَة	friend	attr	0.196
عَزَاء	consolation,mourning	attr	0.196
فَرحَة	joy	attr	0.196
كَرَامَة	dignity,generosity	attr	0.196
لَمسَة	touch,tinge,trace	attr	0.196
مُدَّخِرَة	saver,savings_account_holder	attr	0.196
مَزَاد	auction	attr	0.196
مُفَاعِل	reactor	attr	0.196
مُقَايَضَة	barter,exchange	attr	0.196
مُكَافَأَة	compensation,reward,remuneration	attr	0.196
مَنشَأ	source,origin,generation	attr	0.196
مُهِمَّة	important_matter,equipment,material,supplies	attr	0.196
نَوَاة	nucleus,core	attr	0.196
وَزن	weight,weighing	attr	0.196
وِسَاطَة	mediation,intercession	attr	0.196
مُبَاحَثَة	discussion,talk,negotiation	attr	0.198
اِرتِبَاط	connection,link,cohesion	attr	0.207
اِغتِيَال	assassination,murder	attr	0.207
بِيئَة	environment,milieu	attr	0.207
غَزو	invasion,attack,aggression,foray,incursion	attr	0.207
تَشكِيل	formation,composition,constitution	attr	0.21
حَملَة	campaign,expedition,attack	attr	0.21
جَمع	gathering,collection,joining	attr	0.227
أَقصَى	Aqsa	attr	0.239
إِبعَاد	deportation,exile,removal	attr	0.239
إِخلَال	breach,disturbance,harm	attr	0.239
إِشهَار	declaration,proclamation	attr	0.239
إِلقَاء	delivering,throwing,arresting	attr	0.239
اِستِهدَاف	targeting,aiming_at	attr	0.239
اِلتِحَام	cohesion,adhesion,close_union	attr	0.239
اِنحِرَاف	deviation,corruption	attr	0.239
تَخَلِّي	relinquishment,surrender,renunciation	attr	0.239
تَرسِيخ	rooting,anchoring,ingraining	attr	0.239
تَعمِيم	generalization,diffusion,spread	attr	0.239
حَظّ	luck,fortune,shares	attr	0.239
حَقل	field	attr	0.239
حَمل	carrying	attr	0.239
ذِكرَى	commemoration,remembrance,memoirs,diary	attr	0.239
رُجُوع	return,reverting	attr	0.239
رُوزنَامَة	almanac,calendar	attr	0.239
سَدّ	obstruction,defrayal_(_of_costs_),fulfillment	attr	0.239
عَافِيَة	good_health	attr	0.239
عُرف	custom,habit,protocol	attr	0.239
عَطَاء	giving,offering	attr	0.239
فَضّ	dispersal,separation	attr	0.239
مَثِيل	equal,match,peer	attr	0.239
مَجرَى	course,path	attr	0.239
مُقَوِّم	component,basic_element,ingredient	attr	0.239
مَنفَعَة	benefit,advantage,facilities	attr	0.239
مُوَرِّد	supplier,purveyor	attr	0.239
نَهب	looting,plundering	attr	0.239
وَعكَة	indisposition,sultriness	attr	0.239
إِشرَاف	supervision,direction,patronage	attr	0.247
بِطَاقَة	card,tag,ballot	attr	0.247
فَرع	branch,section,subdivision	attr	0.247
كَلَام	speech,statement,remark,talk,saying	attr	0.247
وَجه	face,front	attr	0.247
تَعلِيم	education,teaching,instructions,precepts	attr	0.255
طَائِرَة	aircraft,airplane	attr	0.264
تَوصِيَة	advice,recommendation	attr	0.267
مُنشَأَة	establishment,firm,installations,facilities	attr	0.267
نَصّ	text	attr	0.267
قُوَّة	power,strength,armed_forces	attr	0.274
تَطوِير	development,advancement,promotion	attr	0.275
إِدرَاك	attainment,realization,awareness	attr	0.279
إِشرَاك	participation,implication	attr	0.279
اِصطِدَام	collision,shock,impact	attr	0.279
تَرمِيم	restoration,renovation	attr	0.279
تَفرِيغ	emptying,unloading	attr	0.279
تَكرِير	refining,distillation	attr	0.279
تَلَاعُب	game,free_play,venality	attr	0.279
جَعل	making,bringing_about,appointing	attr	0.279
خَصم	adversary	attr	0.279
دُفعَة	time,instance	attr	0.279
رَائِد	leader,explorer,pioneer	attr	0.279
رَبّ	lord,master	attr	0.279
رِضَا	approval,pleasure	attr	0.279
رَعِيَّة	subject,citizen	attr	0.279
شُكر	thankfulness,thanks	attr	0.279
ضِيَاع	loss,waste	attr	0.279
طَرد	expulsion,dismissal,kicking_out	attr	0.279
طَعن	stabbing,challenging	attr	0.279
طَقس	ritual,rite	attr	0.279
عَدَاء	aggression,hostility,anti_-	attr	0.279
فَلسَفَة	philosophy	attr	0.279
لِسَان	tongue	attr	0.279
مَشعَر	feeling,sense,emotions	attr	0.279
مُصطَلَح	technical_term,terminology	attr	0.279
مُعَارِض	opponent,adversary,opposition	attr	0.279
مَكَانَة	position,standing	attr	0.279
هَدم	demolition,razing	attr	0.279
وَطَنِيَّة	nationalism,patriotism	attr	0.279
وَعي	consciousness,awareness,attention	attr	0.279
تَقدِير	estimate,calculation,appreciation,appraisal,gratitude	attr	0.288
عَمَالَة	labor_force,employment	attr	0.288
بَيَان	communique,statement,declaration	attr	0.292
حَلّ	solution,dissolution,cancellation	attr	0.294
جَوّ	climate,atmosphere,air	attr	0.308
حِين	time,moment,opportunity	attr	0.308
رِعَايَة	custody,protection,sponsorship	attr	0.308
عَدُوّ	enemy	attr	0.308
عِيد	feast,holiday,festival	attr	0.308
قُنبُلَة	bomb,shell,grenade	attr	0.308
كِتَاب	book	attr	0.31
أَخذ	seizure,taking	attr	0.317
إِلحَاق	joining,enrollment	attr	0.317
اِجتِيَاح	invasion,strike	attr	0.317
تَأخِير	delay	attr	0.317
تَحَرِّي	investigation,inquiry	attr	0.317
تُرَاث	heritage,inheritance	attr	0.317
تَرشِيد	guidance	attr	0.317
تَسَلُّل	infiltration	attr	0.317
تَعَاقُد	contract,agreement	attr	0.317
تَعقِيد	complication,confusion	attr	0.317
تَنَوُّع	variety,diversity	attr	0.317
شُرب	drinking	attr	0.317
شَقِيق	brother	attr	0.317
صَاحِبَة	owner,originator	attr	0.317
صَدر	chest,bosom	attr	0.317
صَوغ	molding,shaping	attr	0.317
عُرُوبَة	Arabism	attr	0.317
مَضمُون	content	attr	0.317
نِضَال	struggle,battle	attr	0.317
إِسلَام	Islam	attr	0.323
بَند	article,clause	attr	0.327
ضَبط	adjusting,regulating,precision	attr	0.327
كَشف	report,revelation,disclosure,examination	attr	0.327
وُقُوع	occurrence,happening	attr	0.327
خُرُوج	exit,getting_out,departure,deviation	attr	0.347
سَحب	withdrawal,pulling_out,remove	attr	0.347
مَزِيَّة	feature,advantage	attr	0.347
رِسَالَة	letter,communication,dissertation,messages	attr	0.348
إِعلَان	declaration,statement,announcement	attr	0.351
إِتمَام	completion,realization	attr	0.354
إِقَالَة	dismissal,discharge	attr	0.354
اِطِّلَاع	examination,inspection,knowledge	attr	0.354
اِكتِشَاف	discovery	attr	0.354
تَبَنِّي	adoption	attr	0.354
تَثبِيت	substantiation,stabilization	attr	0.354
تَجَاهُل	ignoring,disregard,feigned_ignorance	attr	0.354
تَحَرُّر	liberation	attr	0.354
تَصَرُّف	behavior,conduct,disposal	attr	0.354
تَصمِيم	plan,sketch,design	attr	0.354
جِوَار	near,proximity	attr	0.354
حِذر	caution	attr	0.354
حَرَارَة	temperature,heat,fever	attr	0.354
شُعُور	feeling,sentiment,awareness	attr	0.354
طَابِع	impression,character,personality	attr	0.354
فَائِض	surplus,overflow,interest	attr	0.354
مُخَابَرَات	intelligence_service,secret_service	attr	0.354
مُرشِد	guide,instructor,adviser	attr	0.354
مُكَوِّن	constituent,component,element	attr	0.354
تَرَاجُع	retreat,backing_down,retraction	attr	0.365
وَارِدَات	imports,returns	attr	0.365
فَحص	examination,checkup,scrutiny	attr	0.367
عُنوَان	title,headline	attr	0.386
أُمّ	mother	attr	0.388
أَوَان	time,moment	attr	0.388
إِحيَاء	commemoration,revival	attr	0.388
إِفطَار	breaking_the_fast	attr	0.388
اِقتِرَاض	loan	attr	0.388
تَقنِيَّة	technique,technology	attr	0.388
شِعَار	slogan,motto	attr	0.388
عُثُور	discovery	attr	0.388
قُطب	leader,top_figure	attr	0.388
كِيَان	entity	attr	0.388
مَاضِي	past	attr	0.388
مِصدَاقِيَّة	credibility	attr	0.388
مُعَلِّم	teacher	attr	0.388
مَفهُوم	concept,notion,sense,meaning,definition	attr	0.388
مُفَوَّض	commissioner,delegate,authorized_agent	attr	0.388
مَكسَب	gain,profit,earnings	attr	0.388
مَوضِع	place,position	attr	0.388
مَولُود	newborn_infant	attr	0.388
وَصف	characteristic	attr	0.388
قِيَادَة	leadership,command,leaders,commanders	attr	0.401
نَتِيجَة	result,consequence	attr	0.405
هَدَف	goal,objective,intention	attr	0.412
إِبرَام	ratification,conclusion	attr	0.421
إِبقَاء	continuation,preservation	attr	0.421
تَرك	leaving,omission	attr	0.421
تَعمِير	renovation,reconstruction	attr	0.421
تَقسِيم	partition,division,distribution,proportions,features	attr	0.421
تَقلِيص	reducing,shrinking,cutbacks,reductions	attr	0.421
تَورِيث	hereditary_transmission	attr	0.421
تَولِيد	production,generation	attr	0.421
رَمز	sign,symbol,emblem	attr	0.421
شُهرَة	reputation,fame	attr	0.421
عَقِيدَة	doctrine,creed,dogma	attr	0.421
مُحَقِّق	investigator,editor	attr	0.421
مُعَادَاة	hostility,enemity	attr	0.421
مِلَفَّة	dossier,letter_file	attr	0.421
نَفَقَة	expenditure,disbursement	attr	0.421
صُورَة	picture,image,illustration,photo,photograph	attr	0.422
تَجرِبَة	experience,experiment	attr	0.426
سَبِيل	way,road	attr	0.426
مَبدَأ	principle,basis	attr	0.426
مُنتَج	product,production,manufactured_goods	attr	0.427
بَطَل	hero,champion,star	attr	0.451
تَرجَمَة	translation,interpretation	attr	0.451
تَرخِيص	granting_of_permission,licensing	attr	0.451
تَفَادِي	avoidance,avoiding	attr	0.451
تَهرِيب	smuggling,illicit_trade,contrabandage	attr	0.451
حِرَاسَة	guard,escort,protection	attr	0.451
دُستُور	constitution,statute	attr	0.451
رِهَان	wager,contest,betting	attr	0.451
سَلَامَة	security,safety,integrity	attr	0.451
سُلُوك	behavior,conduct	attr	0.451
شَخصِيَّة	identity,person,personality	attr	0.451
غَضَب	anger,wrath	attr	0.451
غِيَار	exchange,interchange,replacement	attr	0.451
لَقَب	title,nickname	attr	0.451
لَهجَة	tone,dialect	attr	0.451
مِثَال	example,model,proverbs	attr	0.451
وَعد	promise	attr	0.451
لَاعِب	player,athlete	attr	0.454
أُسرَة	family,community	attr	0.462
سَيطَرَة	control,dominion	attr	0.462
أَسِير	prisoner,captive	attr	0.48
إِحدَاث	effectuation,implementation	attr	0.48
إِرسَال	transmission,broadcast	attr	0.48
إِغلَاق	locking,closing,barring	attr	0.48
إِيرَاد	revenue,yield,profit	attr	0.48
اِستِغلَال	exploitation,utilization	attr	0.48
اِستِقلَال	independence,autonomy,boarding	attr	0.48
تَفجِير	blowing_up,exploding,detonating	attr	0.48
حُبّ	love,affection	attr	0.48
حُجَّة	pretext	attr	0.48
خُطُورَة	importance,gravity,danger	attr	0.48
ظُهُور	appearance,emergence	attr	0.48
كَفَاءَة	competence,suitability,proficiency,qualification,capability	attr	0.48
مَرتَبَة	level,degree,rank,class	attr	0.48
مُسَانَدَة	support,aid	attr	0.48
مُقَاتِل	combatant,warrior	attr	0.48
نُسخَة	copy,version,edition	attr	0.48
شَبّ	young_man,youth	attr	0.497
نَجَاح	success	attr	0.497
تَصرِيح	declaration,statement	attr	0.502
حُرِّيَّة	freedom	attr	0.507
اِنهِيَار	collapse,downfall,breakdown	attr	0.508
دَعوَى	lawsuit,allegation,legal_action	attr	0.508
شِرَاكَة	partnership	attr	0.508
شُغل	work,activity,occupation,labor,business	attr	0.508
صُدُور	appearance,issuance	attr	0.508
طَائِفَة	sect,party,faction	attr	0.508
عَصر	age,period,epoch	attr	0.508
عِنَايَة	care,attention,concern	attr	0.508
قِسط	allotment,installment	attr	0.508
مَخزَن	storehouse,depot,shop	attr	0.508
مَديُونِيَّة	indebtedness,obligation	attr	0.508
مُعَالَجَة	treatment,therapy,processing	attr	0.508
مَقعَد	seat	attr	0.508
وَلِيّ	successor,heir,patron,responsible,guardian	attr	0.508
إِجلَاء	evacuation,withdrawal	attr	0.534
إِرَادَة	desire,will	attr	0.534
إِقرَاض	lending,loan	attr	0.534
اِنفِتَاح	opening_up,receptiveness,openness	attr	0.534
تَكوِين	structure,education	attr	0.534
تَوزِيع	distribution	attr	0.534
خَلفِيَّة	background	attr	0.534
طُول	length,height	attr	0.534
عِبَارَة	expression	attr	0.534
مَزرَعَة	farm,arable_land,plantation	attr	0.534
هِجرَة	emigration,exodus,departure,exit,Hegira	attr	0.534
إِصَابَة	affliction	attr	0.546
سَاكِن	resident,inhabitant	attr	0.551
غَرب	west,West,Occident	attr	0.555
اِحتِفَال	celebration,ceremony	attr	0.559
تَضَامُن	solidarity,cooperation	attr	0.559
تَمثِيل	representation,acting,exemplification	attr	0.559
تَنشِيط	stimulation,encouragement	attr	0.559
جُملَة	sentence,clause,group,whole	attr	0.559
جُمهُور	multitude,public,masses	attr	0.559
سِجن	prison	attr	0.559
طَبع	printing	attr	0.559
مُسَاعَدَة	assistance,support	attr	0.561
نِصف	half,middle,semi_-	attr	0.577
اِستِجَابَة	compliance,replying	attr	0.582
اِنتِهَاك	violation,contravention,encroachments	attr	0.582
تَحرِيك	making_move,stimulating,activating	attr	0.582
تَحلِيل	analysis,dissolution	attr	0.582
تَدرِيس	teaching,instruction,faculty	attr	0.582
تَوقِيت	time_standard	attr	0.582
جَنَاح	wing,flank	attr	0.582
حَصِيلَة	result,revenue,proceeds	attr	0.582
صِرَاع	struggle,fight	attr	0.582
طَلَاق	divorce	attr	0.582
مُقَابَلَة	encounter,meeting,interview	attr	0.582
هَاتِف	telephone	attr	0.582
اِستِهلَاك	consuming,consumption,discharge,amortization	attr	0.604
تَصعِيد	escalation,intensification	attr	0.604
ثَمَن	value,price	attr	0.604
قَصر	limiting,restricting	attr	0.604
لَيلَة	night,evening,soirees	attr	0.604
مُرُور	traffic,passing,crossing	attr	0.604
مَلَامِح	features,characteristics	attr	0.604
نَادِي	club,association	attr	0.604
هَامِش	margin,periphery,sideline	attr	0.604
حُكم	judgment,decision,statutes	attr	0.629
سَيَّارَة	car,automobile,vehicle	attr	0.637
نِيَّة	intention,purpose,desire	attr	0.647
تَفعِيل	scansion,activation	attr	0.653
خِيَار	option,choice,selection	attr	0.653
نِهَايَة	end,termination	attr	0.653
سِعر	price,rate	attr	0.655
إِنهَاء	termination,completion	attr	0.659
اِختِيَار	choice,selection,preference	attr	0.659
تَسوِيَة	settlement,solution	attr	0.659
زِرَاعَة	agriculture,cultivation	attr	0.659
سَدَاد	payment,appropriateness	attr	0.659
قُبُول	admission,acceptance	attr	0.659
تَشجِيع	encouragement,promotion,support	attr	0.673
بُعد	dimension,distance	attr	0.687
تَدرِيب	training,coaching,practice,exercises,drills	attr	0.694
سَفِينَة	ship,vessel	attr	0.694
عِلَاج	medical_treatment,therapy,processing	attr	0.694
مُتَابَعَة	pursuit,continuation	attr	0.694
تَهدِيد	threat,menace	attr	0.702
تَوجِيه	directing,guiding,sending	attr	0.702
عَائِد	revenue,profit,royalty	attr	0.702
قَائِمَة	list,index	attr	0.709
وَسط	middle,center,environment,circles,quarters	attr	0.717
مَورِد	source,resource	attr	0.738
تَحرِير	liberation,liberating,editorship,editing	attr	0.748
تَعزِيز	support,backing,in_support_of	attr	0.748
أَهَمِّيَّة	importance,significance	attr	0.752
عُنصُر	element,factor,individuals,members	attr	0.76
اِتِّخَاذ	taking,adoption	attr	0.764
مَنع	prevention,interdiction	attr	0.764
ضَمَان	guarantee,insurance	attr	0.768
قَائِد	leader,commander	attr	0.778
اِتِّجَاه	direction,course	attr	0.782
عُملَة	currency	attr	0.788
صِحَّة	health,truth,correctness	attr	0.79
مَال	money,capital,funds,assets	attr	0.829
تَحقِيق	achievement,realization	attr	0.852
حُكُومَة	government,administration	attr	0.914
اِستِعَادَة	recovery,reclamation	attr	1
اِنطِلَاق	departure,release	attr	1
تَقَدُّم	progress,coming_forward	attr	1
تَورِيد	provision,supply,furnishing	attr	1
جُندِيّ	soldier,private	attr	1
رُكن	foundation,support,corner,fundamentals,general_staff	attr	1
كُلِّيَّة	faculty,college,institute	attr	1
مَدرَسَة	school	attr	1
وَزِير	minister	rep	1.37E-12
رَئِيس	president,head,chairman	rep	3.62E-12
عَام	year	rep	2.64E-10
مِنطَقَة	area,zone,territory	rep	1.18E-09
شَرِكَة	company,corporation	rep	2.23E-09
دَولَة	state,country	rep	4.23E-09
سُوق	market	rep	1.94E-06
مَسؤُول	official,functionary	rep	6.27E-05
اِتِّفَاق	agreement,accord,treaty	rep	0.000187
قِطَاع	sector,section,Strip_(_Gaza_)	rep	0.000189
شَرق	east,East,Orient	rep	0.000276
مَشرُوع	project,enterprise	rep	0.000321
وِلَايَة	mandate,term	rep	0.000395
صِنَاعَة	manufacture,industry,trade,craft	rep	0.000569
مَصدَر	source	rep	0.000763
مَدِينَة	city	rep	0.000822
لَجنَة	council,committee,commission	rep	0.000882
وِزَارَة	ministry	rep	0.0012
لُبنَان	Lebanon	rep	0.00248
عَالَم	world	rep	0.00249
تَعَاوُن	cooperation	rep	0.00342
سُلطَة	power,authority,rule	rep	0.00358
أُمَّة	nation,people	rep	0.00543
مَجَال	area,field,arena,context	rep	0.00565
وَضع	laying_down,putting,placing	rep	0.00585
تَقرِير	decision,determination	rep	0.00672
مُنَظَّمَة	organization	rep	0.00942
مَركَز	center,station	rep	0.0135
تِجَارَة	commerce,business	rep	0.0156
عَمَلِيَّة	operation,mission,process	rep	0.0157
نِظَام	regime,government	rep	0.0192
زِيَادَة	increase,addition	rep	0.0205
عَدَم	absence_of,lack_of,non_-	rep	0.0266
يَوم	day,today	rep	0.0269
شَمَال	north,northern	rep	0.0328
بَحث	discussion	rep	0.0359
مَجمُوعَة	collection,group,bloc	rep	0.0359
رَجُل	man,people	rep	0.0366
وَقت	time,moment,period_of_time	rep	0.0373
أَمر	matter,issue	rep	0.0511
طَلَب	quest,search	rep	0.0516
إِعَادَة	return,repetition,re_-_(_doing_)	rep	0.0523
حِزب	party,band	rep	0.0544
جَيش	army,troops	rep	0.0652
مُستَثمِر	investor	rep	0.0652
حَرب	war,warfare	rep	0.0658
جَنُوب	south	rep	0.0659
شَكل	manner,form,configuration,type	rep	0.0663
سِيَاسَة	policy	rep	0.0695
إِجرَاء	conducting,undertaking,carrying_out	rep	0.088
إِصلَاح	reform,restoration,correction,amendment	rep	0.0921
مُستَشفَى	hospital	rep	0.0923
شَخص	individual,person	rep	0.0932
قَضِيَّة	problem,issue	rep	0.0938
إِنشَاء	construction,installation	rep	0.095
رَفع	raising,lifting,increasing	rep	0.095
فُرصَة	opportunity,chance	rep	0.095
دِرَاسَة	study,research	rep	0.0951
عَامِل	worker	rep	0.097
بِنَاء	building,constructing	rep	0.0978
جَمعِيَّة	association,society	rep	0.132
اِقتِصَاد	economy,saving	rep	0.136
اِنخِفَاض	decrease,reduction	rep	0.136
مُؤَسَّسَة	institution,organization,foundation	rep	0.138
نَفط	petroleum,oil	rep	0.138
قَانُون	law,statutes,regulations,rules	rep	0.151
حَال	situation,condition,case	rep	0.179
تَنمِيَة	development,growth	rep	0.181
طَرِيقَة	method,procedure,manners	rep	0.186
مُدِير	director,manager,chief	rep	0.186
مُحَاوَلَة	attempt,effort	rep	0.188
دِفَاع	defense	rep	0.19
صَرف	diverting,spending	rep	0.19
أَجل	for_sake_of,because_of	rep	0.194
خَارِجِيَّة	foreign_ministry,foreign_office	rep	0.253
سَبَب	reason,cause	rep	0.254
أَمِين	secretary,trustees	rep	0.262
إِرهَاب	terrorism,terrorizing	rep	0.263
مَاء	water	rep	0.263
مَصنَع	factory,industrial_plant	rep	0.329
اِتِّصَال	contact,communication,connection,relation,relationship	rep	0.332
فَائِدَة	benefit,use	rep	0.334
دَعوَة	call,invitation,supplication	rep	0.369
نِسَاء	women	rep	0.369
مُبَادَرَة	initiative,proposal	rep	0.37
خَفض	lowering,decreasing,reduction	rep	0.372
فَرِيق	team,band	rep	0.372
مُجتَمَع	society	rep	0.372
إِطلَاق	firing	rep	0.375
رِئَاسَة	presidency,leadership,chairmanship	rep	0.375
فَرد	individual,unit	rep	0.375
رَقم	number,numeral,record	rep	0.378
حَدّ	extent,limit,border,frontier,stop,halt	rep	0.394
اِستِقرَار	stability	rep	0.44
مُعَدَّل	average,rate,mean	rep	0.441
سِلعَة	commodity,commercial_article,commercial_goods	rep	0.443
نَائِب	deputy,delegate,vice_-	rep	0.505
تَسهِيل	facilitation,assistance	rep	0.518
مِلَفّ	file,dossier	rep	0.518
جُمهُورِيَّة	republic	rep	0.52
سُؤَال	question,inquiry	rep	0.52
أَسَاس	foundation,basis	rep	0.522
بِترُول	petroleum	rep	0.522
مُسلِم	Muslim	rep	0.525
جَمِيع	everyone,all	rep	0.529
مُشكِلَة	problem,issue,inconvenience	rep	0.529
تَأمِين	insurance,guarantee	rep	0.53
حَجم	volume,size	rep	0.531
قَاعِدَة	base	rep	0.585
مُؤتَمَر	conference,convention	rep	0.586
أَحَد	one,someone	rep	0.588
تَنظِيم	organization,network	rep	0.588
إِنقَاذ	rescue,salvation,relief	rep	0.589
عُضو	member	rep	0.59
أَمن	security,safety	rep	0.608
كُلّ	every,all,each,whole,entirety	rep	0.624
اِستِمرَار	continuation,continuity	rep	0.632
اِرتِفَاع	rise,increase,elevation	rep	0.691
إِعدَاد	preparation	rep	0.722
اِعتِمَاد	reliance,dependence,recognition	rep	0.722
صَفقَة	deal,transaction	rep	0.722
طَالِب	student	rep	0.722
فَتح	Fatah_(_PLO_branch_)	rep	0.722
قِبَل	(_on_the_)_part_of	rep	0.722
مُسَاعِدَة	assistant,supporter	rep	0.722
مُمَثِّل	representative,delegate	rep	0.722
نَاحِيَة	side,perspective,areas,regions	rep	0.722
نُمُوّ	development,growth,progress	rep	0.722
آلِيَّة	automation,mechanism	rep	0.723
اِستِعدَاد	preparation	rep	0.723
مُوَازَنَة	budget	rep	0.723
عِلم	science,study_of	rep	0.726
اِنتِهَاء	finishing,completion,conclusion	rep	0.728
تَكلِفَة	cost,expense,charge	rep	0.728
دَرس	lesson,study,classes	rep	0.728
تَحَرُّك	movement,motion,activity	rep	0.73
مُقَاطَعَة	region,district,county	rep	0.73
حِسَاب	calculation,appraisal	rep	0.733
إِحدَى	one,someone	rep	0.77
تَعَامُل	relations,dealings	rep	0.77
سَفِير	ambassador	rep	0.77
مُوَاجَهَة	encounter,confrontation	rep	0.77
مَادَّة	article,paragraph	rep	0.776
اِنتِخَاب	election,selection	rep	0.799
خِدمَة	service,assistance	rep	0.799
عَاصِمَة	capital_city	rep	0.799
وَقف	stopping,ceasing	rep	0.799
طَاقَة	energy,power,potential	rep	0.82
إِدَارَة	administration,management,bureau	rep	0.877
أَخ	brother	rep	1
أَزمَة	crisis	rep	1
أُسلُوب	style,method,manner,modes	rep	1
إِجمَالِيّ	total,full_amount,totality	rep	1
إِنجَاز	accomplishment,achievement,success	rep	1
اِحتِلَال	occupation	rep	1
اِحتِيَاط	reserve	rep	1
اِستِثمَار	investment,investing	rep	1
اِقتِرَاح	proposal,suggestion	rep	1
اِنضِمَام	joining,affiliation,annexation	rep	1
بِدَايَة	beginning,start	rep	1
بَرنَامَج	program	rep	1
بَعثَة	delegation,mission	rep	1
بِنيَة	structure,make_-_up	rep	1
بَيت	house	rep	1
تَجَمُّع	gathering,assembly	rep	1
تَدَاعِي	association,mutual_summoning	rep	1
تَصفِيَة	clearing,liquidation,elimination_series_(_sports_)	rep	1
تَموِيل	financing,funding,backing	rep	1
تَوَسُّع	expansion	rep	1
تَوَقُّع	expectation,anticipation	rep	1
تَيَّار	current,stream	rep	1
ثَورَة	revolution,uprising	rep	1
جَذب	attraction	rep	1
جُرح	wound,injury	rep	1
جَرِيمَة	crime	rep	1
حَاجَة	need,thing,belongings,necessities	rep	1
حُدُوث	occurrence,happening	rep	1
حَظر	prohibition,ban	rep	1
حُلُول	advent,beginning,start,arrival	rep	1
حِمَايَة	protection,protecting	rep	1
خَارِج	outside,exterior,outer_part,overseas,abroad	rep	1
خَبَر	news,report	rep	1
خُطَّة	plan,project	rep	1
خَطوَة	step,stride	rep	1
خِلَاف	dispute,controversy,conflict	rep	1
دَم	blood	rep	1
دَورَة	championship,tournament	rep	1
رَدّ	return,repulsion	rep	1
سُرعَة	speed,velocity,promptness	rep	1
سِلَاح	weapon	rep	1
سَهم	share,stock	rep	1
شَحن	transportation,shipment,freighting	rep	1
شِرَاء	purchase,buying,purchasing	rep	1
شَهَادَة	certificate,witness,testimony	rep	1
صَارُوخ	missile,rocket	rep	1
صَالِح	advantage,interest	rep	1
صَوت	voice,sound	rep	1
ضَرب	beating,hitting,striking	rep	1
ضُعف	weakness,impotence	rep	1
ضَوء	light	rep	1
طِفل	child,infant,boy	rep	1
عَبد	Abd	rep	1
عَجز	deficit,insolvency	rep	1
عُدوَان	aggression,hostility,enmity	rep	1
عَقد	contract,agreement	rep	1
عُمق	depth,bottom	rep	1
عَمِيل	agent	rep	1
غَارَة	raid,foray,attack	rep	1
غَايَة	goal,objective,purpose,intention,extreme	rep	1
فَصِيلَة	group,genus,species,family,cell,branch,platoon,squadron	rep	1
فِيلم	film,movie	rep	1
قَدَم	foot,feet	rep	1
قَرَار	decision,resolution	rep	1
قَريَة	village	rep	1
قَضَاء	justice,judiciary	rep	1
مُبَارَاة	match,game,competition	rep	1
مَبنَى	building,structure	rep	1
مُحَامِي	lawyer,defense_counsel	rep	1
مُخَطَّط	plan,sketch	rep	1
مَدَى	extent,range,period,duration	rep	1
مُذَكِّرَة	reminder,memorandum,memoirs,diary	rep	1
مَرحَلَة	phase,stage,round	rep	1
مُستَلزَم	requirement	rep	1
مَسِيحِيّ	Christian	rep	1
مُعَارَضَة	opposition	rep	1
مُعتَقَل	prison_camp	rep	1
مَعدِن	mineral,metal	rep	1
مَعهَد	institute	rep	1
مُفَاوَضَة	negotiation,discussion,talks	rep	1
مَقتَل	murder,killing	rep	1
مَكَان	place,location,position	rep	1
مَكتَب	bureau,office,department	rep	1
مَلبَس	clothes,dress,attire	rep	1
مُمَارَسَة	practice,pursuit,exercise,activities,actions	rep	1
مَوعِد	appointment,date,rendezvous	rep	1
مِيزَان	balance,standard	rep	1
نَشر	publication,announcement	rep	1
نَظَر	view,look,seeing,glances,looking	rep	1
نَقل	transportation,transfer,transmission,relaying	rep	1
